1/18/2021 1:41:41 PM---Messages--:****************************: ################NEW CONNECTION###############***********************
1/18/2021 1:41:41 PM---Messages--:Connected With   : Database :- Z_TEST_Company_31_10_2020
1/18/2021 1:42:21 PM---Messages--:****************************: ################NEW CONNECTION###############***********************
1/18/2021 1:42:21 PM---Messages--:Connected With   : Database :- Z_TEST_Company_31_10_2020
1/18/2021 3:26:34 PM---Messages--:-#####--Claim ID:- 45143: -------#####--Success Factor ID:- 1745--------
1/18/2021 3:26:34 PM---Messages--:-#####--Claim ID:- 45567: -------#####--Success Factor ID:- 1843--------
1/18/2021 3:26:35 PM---Messages--:-#####--Claim ID:- 45557: -------#####--Success Factor ID:- 872--------
1/18/2021 3:26:35 PM---Messages--:-#####--Claim ID:- 45559: -------#####--Success Factor ID:- 872--------
1/18/2021 3:26:35 PM---Messages--:-#####--Claim ID:- 45315: -------#####--Success Factor ID:- 1847--------
1/18/2021 3:26:35 PM---Messages--:-#####--Claim ID:- 45661: -------#####--Success Factor ID:- 1847--------
1/18/2021 3:26:35 PM---Messages--:-#####--Claim ID:- 43357: -------#####--Success Factor ID:- 1524--------
1/18/2021 3:26:35 PM---Messages--:-#####--Claim ID:- 42470: -------#####--Success Factor ID:- 1524--------
1/18/2021 3:26:35 PM---Messages--:-#####--Claim ID:- 43355: -------#####--Success Factor ID:- 1524--------
1/18/2021 3:26:35 PM---Messages--:-#####--Claim ID:- 42472: -------#####--Success Factor ID:- 1524--------
1/18/2021 3:26:35 PM---Messages--:-#####--Claim ID:- 45498: -------#####--Success Factor ID:- 1828--------
1/18/2021 3:26:35 PM---Messages--:-#####--Claim ID:- 45496: -------#####--Success Factor ID:- 1828--------
1/18/2021 3:26:35 PM---Messages--:-#####--Claim ID:- 45492: -------#####--Success Factor ID:- 1828--------
1/18/2021 3:26:35 PM---Messages--:-#####--Claim ID:- 45488: -------#####--Success Factor ID:- 1815--------
1/18/2021 3:26:36 PM---Messages--:-#####--Claim ID:- 45736: -------#####--Success Factor ID:- 1703--------
1/18/2021 3:26:36 PM---Messages--:-#####--Claim ID:- 45734: -------#####--Success Factor ID:- 1703--------
1/18/2021 3:26:36 PM---Messages--:-#####--Claim ID:- 45732: -------#####--Success Factor ID:- 1703--------
1/18/2021 3:26:36 PM---Messages--:-#####--Claim ID:- 45468: -------#####--Success Factor ID:- 1793--------
1/18/2021 3:26:36 PM---Messages--:-#####--Claim ID:- 45730: -------#####--Success Factor ID:- 1558--------
1/18/2021 3:26:36 PM---Messages--:-#####--Claim ID:- 44945: -------#####--Success Factor ID:- 498--------
1/18/2021 3:26:36 PM---Messages--:-#####--Claim ID:- 45724: -------#####--Success Factor ID:- 1433--------
1/18/2021 3:26:36 PM---Messages--:Adding Success Factor: -------
1/18/2021 3:26:54 PM---Messages--:Success Factor is added successfully: -------------------
